Animes,,,,,,,,,,,,
DIA,ANIME,PATROCINADOR,QTD EPISODIOS,STATUS,AUDIO,,,,,,,
SEG - 20h,Alice in borderland 2,DANIEL,03 - 04 (Comp),Assistindo,Dub,,Animes em aguardo,,,,,
SEG - 20h,,,,,,,Anime,Kemono jihen,GIL,1 Episódio,Aguardando,Leg
TER - 20h,,,,,,,Anime,Oshi no ko,EPAX,1 Episódio,Aguardando,Leg
TER - 20h,Dr. Stone 4,DANIEL,05 - 08 (Comp),Assistindo,Dub,,Anime,Samurai X remake,GIL,1 Episódio,Aguardando,Leg
QUA - 20h,jojo bizarre adventure - parte 03,SETHX,13 - 16 (Comp),Assistindo,Dub,,Anime,Eiyuu Kyoushitsu,GIL,1 Episódio,Aguardando,Dub
QUA - 20h,Plunderer,DANIEL,05 - 08 (completo),Assistindo,Dub,,Anime,Makeine,EPAX,Em Espera,Aguardando,Leg
QUI - 20h,300 slimes,SETHX,01 - 04 (Comp),Assistindo,Dub,,Anime,Dragon ball super,SETHX,96 - 111(15 Eps),Em espera,Leg
QUI - 20h,Kenga Asura,SETHX,(Comp),Assistindo,Dub,,Anime,Romantic Killer,WV,02 - 05 (5 Eps),Em espera,Dub
SEX - 20h,Dungeon black company,LUAN,01 - 04 (Comp),Assistindo,Dub,,,,,,,
SEX - 20h,Videos 1  e 2,Epax,2,Assistindo,Dub,,,,,,,
SAB - 10/11h,A bruxa e a Besta,SETHX,(Comp),,Leg,,,,,,,
SAB - 10/11h,Diários de uma apotecária, Lilian,9 - 12 (18 Eps),Assistindo,Dub,,,,,,,
SAB - 10/11h,Isekai Quartet,SETH,05 - 06 (Comp),Assistindo,Leg,,,,,,,
SAB - 10/11h,To be hero X,Robson,Semanal,Assistindo,,,,,,,,
SAB - 21h45,Shiki,Luan, COMPLETO,Assistindo,Dub,,,,,,,
SAB - 10/11h,Re: Creators,Luan,,,Leg,,,,,,,
SAB - 10/11h,Tier List 2,Robson,,Assistindo,Dub,,,,,,,
SAB - 10/11h,Videos 1  e 2,Epax,2,Assistindo,Dub,,,,,,,
